Name,Edition,Edition code,Collector's number,Price,Foil,Currency,Scryfall ID,Quantity
"Nashi, Searcher in the Dark","Duskmourn: House of Horror","DSK","361","$2.81","Foil","USD","44aa4f0c-7b2b-44cc-a59f-95f276b25898","1"
"Cursed Recording","Duskmourn: House of Horror","DSK","315","$0.79","","USD","5aacedd1-de6b-4485-891e-0283ef33f3d4","2"
"Floodfarm Verge","Duskmourn: House of Horror","DSK","330","$8.17","","USD","025152a1-4fdf-4e4e-a792-c540dd43fccd","3"
"Grievous Wound","Duskmourn: House of Horror","DSK","375","$0.86","","USD","b3222c21-8d81-487d-a0c4-2413b30a26ab","1"
"Marina Vendrell","Duskmourn: House of Horror","DSK","360","$4.00","Foil","USD","f6424845-7e9b-4514-93aa-1cf6c45f634c","1"
"Waltz of Rage","Duskmourn: House of Horror","DSK","318","$0.81","","USD","dcecce11-59e3-4c95-bff9-b02d004c917b","1"
"Silent Hallcreeper","Duskmourn: House of Horror","DSK","345","$1.86","","USD","a0ee370f-99d1-44bc-9952-29bcafbf7887","4"
"Reluctant Role Model","Duskmourn: House of Horror","DSK","303","$0.96","","USD","1fcea7eb-3174-4549-a1de-8dda577cd0b9","1"
"Zimone, All-Questioning","Duskmourn: House of Horror","DSK","366","$3.06","Foil","USD","c8af5a2b-b87e-4ee2-88bd-f80670559875","3"
"Balustrade Wurm","Duskmourn: House of Horror","DSK","319","$0.97","","USD","d7944c86-c578-48fa-b222-7fce3f5d301d","2"
"Gloomlake Verge","Duskmourn: House of Horror","DSK","331","$9.88","","USD","b414e4bd-a443-4ab3-bee4-1ad1d039aa1a","2"
"Enduring Curiosity","Duskmourn: House of Horror","DSK","371","$2.52","","USD","ce740fb7-d2d1-451b-bfa0-27364b804161","2"
"Marvin, Murderous Mimic","Duskmourn: House of Horror","DSK","367","$6.22","","USD","ed4f107a-ce90-464c-8be0-eb6c1db0f80f","2"
"The Wandering Rescuer","Duskmourn: House of Horror","DSK","351","$9.97","Foil","USD","42e3837d-0481-42cd-a7da-56b7e5cb1b7e","1"
"Leyline of Transformation","Duskmourn: House of Horror","DSK","372","$2.02","","USD","fd545d86-9a3e-4e4f-b0fe-9363a85b9290","3"
"Fear of Missing Out","Duskmourn: House of Horror","DSK","316","$3.71","","USD","45b924a5-6533-4ca6-bd2e-32debdfb6c08","4"
"Grievous Wound","Duskmourn: House of Horror","DSK","102","$0.84","","USD","6ed3dd5e-cd27-4b18-ad60-f5c4d9a811b9","1"
"Zimone, All-Questioning","Duskmourn: House of Horror","DSK","241","$0.98","","USD","7722f4f7-fe38-4107-a715-7b27b6a4e341","1"
"Overlord of the Mistmoors","Duskmourn: House of Horror","DSK","370","$6.05","","USD","509735a5-2b41-4e52-9ab1-0e4a6fa41d1b","1"
"Forest","Duskmourn: House of Horror","DSK","276","$0.36","Foil","USD","ba2a4cbb-f325-4178-80db-7090f5672414","5"
"Mountain","Duskmourn: House of Horror","DSK","275","$0.43","Foil","USD","8c8841b2-9b4e-4f65-8e30-1e9423cb8fbc","10"
"Razorkin Needlehead","Duskmourn: House of Horror","DSK","347","$9.59","","USD","25c34cb6-c8cb-4814-a647-9c63b10f02c4","1"
"Meathook Massacre II","Duskmourn: House of Horror","DSK","311","$19.20","","USD","b3686075-cef4-48b7-ac50-3e27282a3f70","1"
"Entity Tracker","Duskmourn: House of Horror","DSK","307","$0.94","","USD","885098d1-f9b4-429b-97b5-c5c448111e22","2"
"Overlord of the Boilerbilges","Duskmourn: House of Horror","DSK","380","$4.87","","USD","27266b27-3f16-4690-aaa0-07ea10b37bb6","2"
"Undead Sprinter","Duskmourn: House of Horror","DSK","350","$0.49","","USD","ef349a98-d4df-4eab-81e3-96a74aff5902","2"
"Twitching Doll","Duskmourn: House of Horror","DSK","384","$1.69","","USD","0b47d003-bbdb-4c58-a648-3f0d7474f326","2"
"Tyvar, the Pummeler","Duskmourn: House of Horror","DSK","353","$8.25","Foil","USD","1c6f8dd7-6ec8-44b5-8827-192f255c4211","3"
"Enduring Innocence","Duskmourn: House of Horror","DSK","368","$2.39","","USD","6d908299-aac0-46a6-8fa5-780d5b3e0386","1"
"Overlord of the Floodpits","Duskmourn: House of Horror","DSK","373","$5.01","","USD","5b0d446b-75ac-49d8-911a-73d17419ff05","2"
"Enduring Courage","Duskmourn: House of Horror","DSK","378","$1.31","","USD","98c10aa8-111a-4b02-a0a4-fee4c17f9c24","3"
"Screaming Nemesis","Duskmourn: House of Horror","DSK","348","$11.79","","USD","ad3f4c72-ff6e-4d7f-8eb8-45a0a9605fc0","2"
"Walk-In Closet // Forgotten Cellar","Duskmourn: House of Horror","DSK","341","$9.81","","USD","c2e9868b-da2a-474d-8560-8bc4eb672cd3","1"
"Hedge Shredder","Duskmourn: House of Horror","DSK","320","$2.97","","USD","01595caa-7abd-4b47-8015-3754d8eb39cf","3"
"Ghostly Dancers","Duskmourn: House of Horror","DSK","302","$0.52","","USD","851b9caa-bb70-4d84-8139-b70867193922","3"
"Valgavoth's Lair","Duskmourn: House of Horror","DSK","327","$3.05","","USD","7b5041f1-7cb8-4b60-94f6-436430bbece4","3"
"Gleeful Arsonist","Duskmourn: House of Horror Commander","DSC","56","$0.00","","USD","5949e77b-a9e8-4c1c-8ee0-f3c7ac5f8f83","3"
"Curator Beastie","Duskmourn: House of Horror Commander","DSC","58","$0.00","","USD","78385399-fc28-4944-a817-7b3166414620","3"
"Demolisher Spawn","Duskmourn: House of Horror Commander","DSC","59","$0.00","","USD","24b020bb-c758-4957-a9d6-69b9e0fe80d1","5"
"Persistent Constrictor","Duskmourn: House of Horror Commander","DSC","52","$0.00","","USD","1b874319-5d65-4875-be0a-00adcf0cc476","3"
"Metamorphosis Fanatic","Duskmourn: House of Horror Commander","DSC","51","$0.00","","USD","48acd7ae-d61a-451a-b03a-0c93b548b908","3"
"Suspended Sentence","Duskmourn: House of Horror Commander","DSC","54","$0.00","","USD","fd3ceb49-3a13-47ff-b0a2-abfff43ad100","2"
"Kianne, Corrupted Memory","Duskmourn: House of Horror Commander","DSC","2","$4.73","Foil","USD","d970c966-9a89-4c4c-ac73-8cf8fffe7721","2"
"Disorienting Choice","Duskmourn: House of Horror Commander","DSC","60","$0.00","","USD","69a6433f-b832-4edc-bf74-2bed59cb4e20","2"
"Zimone's Hypothesis","Duskmourn: House of Horror Commander","DSC","46","$0.00","","USD","0e0a196a-fff1-4135-8e0f-dc842382523c","4"
"Seance Board","Duskmourn: House of Horror Commander","DSC","67","$0.00","","USD","b6ec7a70-dcd9-4210-9283-af848e638361","2"
"The Master of Keys","Duskmourn: House of Horror Commander","DSC","4","$1.68","Foil","USD","3545341b-dacc-4ac8-976e-39754a62bbc3","2"
"Zimone, Mystery Unraveler","Duskmourn: House of Horror Commander","DSC","8","$6.40","Foil","USD","30f23588-5064-48d9-a271-039df757f8d2","2"
"Sadistic Shell Game","Duskmourn: House of Horror Commander","DSC","53","$0.00","","USD","4f71547e-9cf9-4afe-b768-efaecdddc13a","2"
"Barbflare Gremlin","Duskmourn: House of Horror Commander","DSC","55","$0.00","","USD","26b96f77-c342-4c3b-abf8-5f101729d1a8","2"
"Giggling Skitterspike","Duskmourn: House of Horror Commander","DSC","66","$0.00","","USD","a7360ffb-5a45-490f-9adf-d540a404e64d","2"
"Shriekwood Devourer","Duskmourn: House of Horror Commander","DSC","62","$0.00","","USD","3796eccf-513e-41fe-be5b-aae3b476615b","2"
"Ancient Cellarspawn","Duskmourn: House of Horror Commander","DSC","47","$0.00","","USD","f37f2926-c653-4de4-83f8-3b493317c430","2"
"Valgavoth, Harrower of Souls","Duskmourn: House of Horror Commander","DSC","6","$6.67","Foil","USD","8d7c1f6c-af45-4449-8cf8-e13830b3df8a","1"
"Fear of Sleep Paralysis","Duskmourn: House of Horror Commander","DSC","43","$0.00","","USD","3a2c84e9-b63f-4683-a1be-93567b1cf991","2"
"Barbflare Gremlin","Duskmourn: House of Horror Commander","DSC","26","$0.00","","USD","825f509c-272e-4c91-a139-da3c67bd6b33","1"
"Deluge of Doom","Duskmourn: House of Horror Commander","DSC","48","$0.00","","USD","b64ace2b-e1f6-4aec-b08f-fdb7fb893483","2"
"Twitching Doll","Duskmourn: House of Horror","DSK","417","$0.00","Foil","USD","23684053-024e-4e15-8aec-de3d4bc7f126","7"
"Valgavoth's Onslaught","Duskmourn: House of Horror","DSK","324","$2.12","Foil","USD","3518fbe6-5640-4aca-a2fd-e83c82d2e2fd","1"
"Charred Foyer // Warped Space","Duskmourn: House of Horror","DSK","340","$6.24","Foil","USD","c802966b-642c-4560-9c8e-e04adc9f41a4","1"
"Gloomlake Verge","Duskmourn: House of Horror","DSK","331","$13.66","Foil","USD","b414e4bd-a443-4ab3-bee4-1ad1d039aa1a","1"
"Leyline of the Void","Duskmourn: House of Horror","DSK","376","$1.01","Foil","USD","b30a559e-79f9-479e-8ef1-65fb91b9507d","1"
"Enduring Tenacity","Duskmourn: House of Horror","DSK","374","$5.19","Foil","USD","5d2d0033-1a73-4927-93a9-76d00ae7c6a8","1"
"Mirror Room // Fractured Realm","Duskmourn: House of Horror","DSK","337","$7.46","Foil","USD","f0c32b23-0586-4ac2-9304-d90b4636e7ae","1"
"Valgavoth's Lair","Duskmourn: House of Horror","DSK","271","$3.71","Foil","USD","65ff914e-3f3e-4b7a-b69d-73575b68fb8e","1"
"Valgavoth, Terror Eater","Duskmourn: House of Horror","DSK","120","$20.47","Foil","USD","7740ff55-67bb-409e-90f7-2c2c8b8c770a","1"
"Overlord of the Hauntwoods","Duskmourn: House of Horror","DSK","383","$16.52","Foil","USD","3832d950-eb12-470f-9593-0f10d2a3a0f2","1"
"Cursed Recording","Duskmourn: House of Horror","DSK","131","$0.72","Foil","USD","d13a247c-c941-488a-b13b-bffb1f1f368a","1"
"The Mindskinner","Duskmourn: House of Horror","DSK","66","$1.62","Foil","USD","7f1bb4c5-99be-46cc-ad54-7affb5f0144c","1"
"Plains","Duskmourn: House of Horror","DSK","278","$0.50","Foil","USD","756abff9-9810-4e2d-b1d7-ec4e2d6d5187","1"
"Swamp","Duskmourn: House of Horror","DSK","281","$0.42","Foil","USD","3c51de66-a3ed-4ca9-befb-9813e96c4ade","1"
"Terramorphic Expanse","Duskmourn: House of Horror","DSK","269","$0.26","Foil","USD","b379c8f1-817c-4f18-8f58-45c40504433e","5"
"Island","Duskmourn: House of Horror","DSK","280","$0.50","Foil","USD","e1d10d9c-8771-4870-aebf-e767d0fada32","1"
"Under the Skin","Duskmourn: House of Horror","DSK","323","$0.51","Foil","USD","9eb34e17-bc12-4a4e-a418-0dbd3e6665a8","3"
"Withering Torment","Duskmourn: House of Horror","DSK","313","$1.62","Foil","USD","87e03d07-c491-4ea1-a2f7-49c022005059","3"
"Enduring Vitality","Duskmourn: House of Horror","DSK","176","$3.08","","USD","9d76a30c-0431-4334-892a-9822dda9671a","1"
"Marina Vendrell's Grimoire","Duskmourn: House of Horror","DSK","308","$1.95","Foil","USD","b976d642-3cf0-42c5-b3ba-12818e596f9c","3"
"Leyline of Hope","Duskmourn: House of Horror","DSK","369","$1.05","","USD","e6209ca8-3a2a-4c0a-9f86-54283af9df75","1"
"Marina Vendrell's Grimoire","Duskmourn: House of Horror","DSK","308","$0.56","","USD","b976d642-3cf0-42c5-b3ba-12818e596f9c","1"
"Saw","Duskmourn: House of Horror","DSK","254","$0.50","Foil","USD","603c3ef4-4ef1-4db8-9ed2-e2b0926269d5","2"
"Malevolent Chandelier","Duskmourn: House of Horror","DSK","252","$0.23","Foil","USD","ef09d296-4493-47f7-ad76-ad76c747df78","6"
"Keys to the House","Duskmourn: House of Horror","DSK","251","$0.51","Foil","USD","8c11a413-7f33-4b63-bdd9-e143e529f56d","6"
"Haunted Screen","Duskmourn: House of Horror","DSK","250","$0.49","Foil","USD","5e7d552f-a7ac-4a49-a582-9d378137005f","4"
"Glimmerlight","Duskmourn: House of Horror","DSK","249","$0.30","Foil","USD","1071691c-5c65-42d4-ac96-d302185ca678","4"
"Found Footage","Duskmourn: House of Horror","DSK","246","$0.33","Foil","USD","b12eb087-762e-4e7d-a6e0-f48df603b7c7","5"
"Friendly Teddy","Duskmourn: House of Horror","DSK","247","$0.54","Foil","USD","82b142be-4586-487a-8dd8-a55eff776458","3"
"Conductive Machete","Duskmourn: House of Horror","DSK","244","$0.43","Foil","USD","1cf37c1a-096b-4306-97cf-bc4d4c47d4a1","4"
"Bear Trap","Duskmourn: House of Horror","DSK","243","$0.33","Foil","USD","e27c27d6-dc3a-4420-bb35-d97dc216e002","5"
"Attack-in-the-Box","Duskmourn: House of Horror","DSK","242","$0.95","Foil","USD","a477dc3e-0fa1-4ce4-b3de-8cae0d1a0763","4"
"Abandoned Campground","Duskmourn: House of Horror","DSK","255","$0.41","Foil","USD","ee0565f5-ebdb-43f9-bbb4-0485b1968937","3"
"Neglected Manor","Duskmourn: House of Horror","DSK","264","$0.39","Foil","USD","11cf1531-8a3c-4e28-a114-d3a342b33bb6","4"
"Raucous Carnival","Duskmourn: House of Horror","DSK","266","$0.42","Foil","USD","3604a211-9bf7-474e-bd78-32a862f4259c","4"
"Etched Cornfield","Duskmourn: House of Horror","DSK","258","$0.39","Foil","USD","f8900b89-0e10-4602-bba2-da8d60ea5885","5"
"Peculiar Lighthouse","Duskmourn: House of Horror","DSK","265","$0.37","Foil","USD","3a6e40c0-e70e-4353-a920-9851cfac71dd","4"
"Bleeding Woods","Duskmourn: House of Horror","DSK","257","$0.34","Foil","USD","cb224874-aff5-461f-82ee-89b06663231a","1"
"Lakeside Shack","Duskmourn: House of Horror","DSK","262","$0.55","Foil","USD","a9367acd-393a-4966-ba60-af2ecd4e7596","3"
"Murky Sewer","Duskmourn: House of Horror","DSK","263","$0.37","Foil","USD","6098d8be-4e3f-455d-8799-91435bf45a1c","6"
"Razortrap Gorge","Duskmourn: House of Horror","DSK","267","$0.35","Foil","USD","98d0d067-b52d-47ec-ba7b-8cfcd716c0e5","5"
"Strangled Cemetery","Duskmourn: House of Horror","DSK","268","$0.38","Foil","USD","c1ce9250-bdbe-4c77-9243-6db9ffffe69b","2"
"Baseball Bat","Duskmourn: House of Horror","DSK","209","$0.42","Foil","USD","438accb1-6d2c-4710-adeb-df4301a7b8f1","1"
"Beastie Beatdown","Duskmourn: House of Horror","DSK","210","$0.49","Foil","USD","5f889c95-46af-4fd9-aff2-573d5384fd58","4"
"Broodspinner","Duskmourn: House of Horror","DSK","211","$0.48","Foil","USD","dcdd2622-ab7a-4990-b026-3667cac42894","4"
"Arabella, Abandoned Doll","Duskmourn: House of Horror","DSK","208","$0.63","Foil","USD","f683d5a1-b8bf-446f-9fe3-88a4398bf3cf","5"
"Shrewd Storyteller","Duskmourn: House of Horror","DSK","232","$0.48","Foil","USD","f9636877-8fcc-4ad5-8eb2-a5d5ba49583d","5"
"Oblivious Bookworm","Duskmourn: House of Horror","DSK","300","$0.53","Foil","USD","9f328937-6585-4325-a1f2-95facab2c58a","4"
"Skullsnap Nuisance","Duskmourn: House of Horror","DSK","234","$0.56","Foil","USD","0fdcdfd0-8c66-4767-a894-58cf0c6d7e07","3"
"Growing Dread","Duskmourn: House of Horror","DSK","216","$0.48","Foil","USD","5479ac50-8335-4c6a-be99-750a44e24f25","1"
"Shroudstomper","Duskmourn: House of Horror","DSK","233","$0.32","Foil","USD","53f746bf-0642-48db-835e-27a7fe369fef","2"
"Fear of Infinity","Duskmourn: House of Horror","DSK","214","$0.47","Foil","USD","81756844-c642-406f-842d-35c1e404fec0","2"
"Wildfire Wickerfolk","Duskmourn: House of Horror","DSK","239","$0.56","Foil","USD","7c7fbc6e-09c6-4f0e-92e2-766aae950b3d","2"
"Midnight Mayhem","Duskmourn: House of Horror","DSK","222","$0.43","Foil","USD","4fc0b94f-08b3-4fb6-9b09-2f3a215203ca","5"
"Gremlin Tamer","Duskmourn: House of Horror","DSK","215","$0.43","Foil","USD","3593a222-21c5-4f91-bde1-763ea08071da","2"
"Drag to the Roots","Duskmourn: House of Horror","DSK","213","$0.49","Foil","USD","46f46095-6479-46b0-9e59-194d83f86a46","2"
"Sawblade Skinripper","Duskmourn: House of Horror","DSK","231","$0.51","Foil","USD","cbe51964-50d2-49b0-9c3c-81751dcbeade","1"
"Intruding Soulrager","Duskmourn: House of Horror","DSK","218","$0.33","Foil","USD","adffc298-0219-4807-ab05-d94460e767bc","3"
"Inquisitive Glimmer","Duskmourn: House of Horror","DSK","217","$0.50","Foil","USD","f1f66e3e-9f1f-4601-aa30-30b66805a5a8","1"
"Rite of the Moth","Duskmourn: House of Horror","DSK","229","$0.67","Foil","USD","0e79123f-accd-4193-8c72-b750e0d6f3fa","2"
"Disturbing Mirth","Duskmourn: House of Horror","DSK","212","$0.52","Foil","USD","f79b0c5d-6823-439c-a011-8b9bf424bdad","2"
"Slavering Branchsnapper","Duskmourn: House of Horror","DSK","198","$0.37","Foil","USD","5ed7ca4d-5895-4074-8315-656363d14862","4"
"Flesh Burrower","Duskmourn: House of Horror","DSK","178","$0.33","Foil","USD","60499c90-a512-4abb-98eb-0735a7138421","6"
"Cryptid Inspector","Duskmourn: House of Horror","DSK","174","$0.33","Foil","USD","820c2932-2e23-4f67-92d0-a630aec6f1b4","6"
"Anthropede","Duskmourn: House of Horror","DSK","167","$0.24","Foil","USD","51216ab0-9806-4faa-afbd-143e95dc255b","4"
"Monstrous Emergence","Duskmourn: House of Horror","DSK","191","$0.30","Foil","USD","b999eb47-b842-47f1-be91-c79fc46e1896","4"
"Threats Around Every Corner","Duskmourn: House of Horror","DSK","200","$0.50","Foil","USD","7201ee12-9104-48d8-aeec-08a318c8ee10","3"
"Bashful Beastie","Duskmourn: House of Horror","DSK","169","$0.25","Foil","USD","c20fa7ee-a4c2-4eb0-9467-195f3b894fa0","5"
"Grasping Longneck","Duskmourn: House of Horror","DSK","180","$0.39","Foil","USD","7fddcd48-3efe-4b56-9d69-9659b3dc6021","6"
"Insidious Fungus","Duskmourn: House of Horror","DSK","186","$0.91","Foil","USD","d60d2e62-06da-410a-81ed-6cebb2632fb6","5"
"Say Its Name","Duskmourn: House of Horror","DSK","197","$0.28","Foil","USD","94c58683-b5f2-4863-9562-6f6be1ec21fe","4"
"Altanak, the Thrice-Called","Duskmourn: House of Horror","DSK","166","$0.59","Foil","USD","807b0674-8eba-4204-b6b6-fa2b785a79e9","4"
"Spineseeker Centipede","Duskmourn: House of Horror","DSK","199","$0.28","Foil","USD","b50d697c-8358-429b-8f79-7ad9d01a5edd","6"
"Horrid Vigor","Duskmourn: House of Horror","DSK","184","$0.27","Foil","USD","c175c998-7b80-4187-bdbc-5b6e0d7eac91","4"
"Wary Watchdog","Duskmourn: House of Horror","DSK","206","$0.56","Foil","USD","25ed97f2-b47e-49b7-9b1a-694c4bbeca3b","3"
"Under the Skin","Duskmourn: House of Horror","DSK","203","$0.47","Foil","USD","0aaf1ad3-00ad-48ec-a71f-812649d55e14","2"
"Patchwork Beastie","Duskmourn: House of Horror","DSK","195","$0.54","Foil","USD","895de583-36d2-43fd-927f-8876d4302c73","2"
"Manifest Dread","Duskmourn: House of Horror","DSK","189","$0.39","Foil","USD","a649265b-6c32-49e7-b6cb-6086c40d26e8","4"
"Wickerfolk Thresher","Duskmourn: House of Horror","DSK","207","$0.52","Foil","USD","b3a74892-20cd-47f7-b514-a4c7f14cca8b","4"
"Overgrown Zealot","Duskmourn: House of Horror","DSK","193","$0.53","Foil","USD","96d68d29-499a-4864-be18-bd98fda0d173","2"
"Moldering Gym // Weight Room","Duskmourn: House of Horror","DSK","190","$0.52","Foil","USD","245d5a61-c40c-4039-aea8-3ad61415b8f0","6"
"Cathartic Parting","Duskmourn: House of Horror","DSK","171","$0.59","Foil","USD","6afc250a-854d-4555-ba78-db9283fa7c22","3"
"Defiant Survivor","Duskmourn: House of Horror","DSK","175","$0.50","Foil","USD","327772f3-5a87-47af-9308-c1119ad2711d","3"
"Coordinated Clobbering","Duskmourn: House of Horror","DSK","173","$0.56","Foil","USD","d498cd5d-5807-4297-bc8a-c0941f2f5ce2","3"
"Frantic Strength","Duskmourn: House of Horror","DSK","179","$0.40","Foil","USD","bbd9d35d-7fd0-4193-9f7e-b8a59fae4ac5","3"
"Break Down the Door","Duskmourn: House of Horror","DSK","170","$0.52","Foil","USD","209e9bbc-a15d-47fc-b149-6b0c57dd09ea","3"
"Rootwise Survivor","Duskmourn: House of Horror","DSK","196","$0.36","Foil","USD","d843c242-088f-4131-9e52-7ee2d0db5e20","1"
"Cautious Survivor","Duskmourn: House of Horror","DSK","172","$0.25","Foil","USD","ee2b4c1a-e058-4e06-bc46-e250fd9c9b54","3"
"Fear of Exposure","Duskmourn: House of Horror","DSK","177","$0.18","Foil","USD","93bb4abc-5af1-4cf5-919b-244b6a36f8ec","2"
"Greenhouse // Rickety Gazebo","Duskmourn: House of Horror","DSK","181","$0.44","Foil","USD","a22e8038-0706-47ec-bfda-f421a4912774","1"
"House Cartographer","Duskmourn: House of Horror","DSK","185","$0.44","Foil","USD","2a534918-a009-4f7d-87c9-5ef600b6e7c2","1"
"Hand That Feeds","Duskmourn: House of Horror","DSK","139","$0.40","Foil","USD","297c2860-5a68-4a18-a23a-ca5cfdfbcac8","5"
"Scorching Dragonfire","Duskmourn: House of Horror","DSK","156","$0.25","Foil","USD","a55f4f37-796a-4b18-a5ee-1d4f711f19b8","4"
"Most Valuable Slayer","Duskmourn: House of Horror","DSK","144","$0.10","Foil","USD","c2b7b635-4c72-4129-bf95-1eef05cce3d3","5"
"Impossible Inferno","Duskmourn: House of Horror","DSK","140","$0.05","Foil","USD","a35248f9-9a4e-4758-a4c1-0e0c83e3fd75","5"
"Betrayer's Bargain","Duskmourn: House of Horror","DSK","126","$0.50","Foil","USD","7956ae00-8f0c-48f0-8110-19ff53863876","6"
"Painter's Studio // Defaced Gallery","Duskmourn: House of Horror","DSK","147","$0.81","Foil","USD","e96901eb-5b57-43f4-a7b1-ae3b809bc36e","5"
"Piggy Bank","Duskmourn: House of Horror","DSK","148","$0.54","Foil","USD","55d35442-5ca0-4fd7-8ff1-b7347b3e6690","4"
"Bedhead Beastie","Duskmourn: House of Horror","DSK","125","$0.19","Foil","USD","77c72b5b-dd81-4eb4-80d9-a0124e27e1dc","4"
"Fear of Being Hunted","Duskmourn: House of Horror","DSK","134","$0.49","Foil","USD","a0a5e716-68c1-4fa0-aa08-5b08114e08d8","4"
"Turn Inside Out","Duskmourn: House of Horror","DSK","160","$0.34","Foil","USD","57e2a92c-06d3-4cb5-883d-cba428a7e98e","4"
"Clockwork Percussionist","Duskmourn: House of Horror","DSK","130","$0.43","Foil","USD","10986e5a-9fc6-41e2-8352-289328245171","6"
"Irreverent Gremlin","Duskmourn: House of Horror","DSK","142","$0.89","Foil","USD","8da254f5-53f2-41d2-a4f0-a90b3dd6209c","5"
"Pyroclasm","Duskmourn: House of Horror","DSK","149","$0.52","Foil","USD","4391b0af-2f26-4a45-9e2a-5bd8e9838107","3"
"Razorkin Hordecaller","Duskmourn: House of Horror","DSK","152","$0.52","Foil","USD","f7fb0f11-d1d0-4941-a1a7-a2db88f30394","3"
"Grab the Prize","Duskmourn: House of Horror","DSK","138","$0.37","Foil","USD","50895202-f1a1-4840-a11a-55b78b8b5929","3"
"Infernal Phantom","Duskmourn: House of Horror","DSK","141","$0.35","Foil","USD","f0c5999f-a185-4fc7-86fa-c4e5b091e768","4"
"Glassworks // Shattered Yard","Duskmourn: House of Horror","DSK","137","$0.55","Foil","USD","fe32f667-8d9f-4414-913e-256cbc2fbc45","6"
